county_id,county,population,COUNTYFP10,latitude,longitude
0,Adair ,7496,001,41.3285283,-94.4781643
1,Adams ,3704,003,41.0216555,-94.6969059
2,Allamakee ,14061,005,43.2749637,-91.382751
3,Appanoose ,12317,007,40.7446826,-92.870345
4,Audubon ,5674,009,41.679178,-94.9043119
5,Benton ,25575,011,42.0925474,-92.05763
6,Black Hawk ,131144,013,42.4728884,-92.306059
7,Boone ,26715,015,42.0386005,-93.9391375
8,Bremer ,24988,017,42.7808902,-92.3275863
9,Buchanan ,20565,019,42.4703284,-91.8386658
10,Buena Vista ,20823,021,42.741522,-95.1414325
11,Butler ,14334,023,42.7347076,-92.7800664
12,Calhoun ,9927,025,42.3861699,-94.6436829
13,Carroll ,20760,027,42.039492,-94.8676471
14,Cass ,13127,029,41.3338235,-94.9333023
15,Cedar ,18505,031,41.7723547,-91.13219
16,Cerro Gordo ,43127,033,43.0751708,-93.251266
17,Cherokee ,11658,035,42.7427375,-95.6332616
18,Chickasaw ,12012,037,43.0597409,-92.3172101
19,Clarke ,9748,039,41.0291908,-93.7840961
20,Clay ,16384,041,43.079822,-95.1497261
21,Clayton ,17043,043,42.8409979,-91.3235108
22,Clinton ,46460,045,41.8980732,-90.5342431
23,Crawford ,16525,047,42.0431192,-95.3890903
24,Dallas ,99678,049,41.6853206,-94.0407065
25,Davis ,9110,051,40.7480892,-92.4103453
26,Decatur ,7645,053,40.7363787,-93.7845799
27,Delaware ,17488,055,42.4730031,-91.3594425
28,Des Moines ,38910,057,40.9153392,-91.1869253
29,Dickinson ,17703,059,43.3896107,-95.1960572
30,Dubuque ,99266,061,42.4634808,-90.8787708
31,Emmet ,9388,063,43.3779844,-94.6693702
32,Fayette ,19509,065,42.8644496,-91.8393728
33,Floyd ,15627,067,43.052741,-92.7873669
34,Franklin ,10019,069,42.7365489,-93.2714247
35,Fremont ,6605,071,40.7437257,-95.5995159
36,Greene ,8771,073,42.042494,-94.3887028
37,Grundy ,12329,075,42.4033232,-92.7902613
38,Guthrie ,10623,077,41.6835728,-94.5012723
39,Hamilton ,15039,079,42.3907681,-93.709198
40,Hancock ,10795,081,43.0754105,-93.7436965
41,Hardin ,16878,083,42.3899554,-93.241081
42,Harrison ,14582,085,41.6885844,-95.8271491
43,Henry ,20482,087,40.985864,-91.5442697
44,Howard ,9469,089,43.3653125,-92.3219084
45,Humboldt ,9597,091,42.7822212,-94.2027754
46,Ida ,7005,093,42.3918601,-95.5074206
47,Iowa ,16662,095,41.6839184,-92.0591226
48,Jackson ,19485,097,42.1642812,-90.5745965
49,Jasper ,37813,099,41.6856863,-93.0529712
50,Jefferson ,15663,101,41.0068799,-91.9671367
51,Johnson ,152854,103,41.6687365,-91.5888122
52,Jones ,20646,105,42.1251175,-91.1169141
53,Keokuk ,10033,107,41.3311823,-92.1677213
54,Kossuth ,14828,109,43.2124777,-94.213983
55,Lee ,33555,111,40.6475875,-91.4771574
56,Linn ,230299,113,42.0779506,-91.5976735
57,Louisa ,10837,115,41.2182111,-91.2569936
58,Lucas ,8634,117,41.033344,-93.3314666
59,Lyon ,11934,119,43.3835796,-96.2072011
60,Madison ,16548,121,41.3306216,-94.0151842
61,Mahaska ,22190,123,41.3307969,-92.6363663
62,Marion ,33414,125,41.3314552,-93.093849
63,Marshall ,40105,127,42.041691,-92.9814523
64,Mills ,14484,129,41.0337028,-95.619101
65,Mitchell ,10565,131,43.3485643,-92.7844663
66,Monona ,8751,133,42.0494317,-95.9565661
67,Monroe ,7577,135,41.0288473,-92.8696415
68,Montgomery ,10330,137,41.0217348,-95.1577896
69,Muscatine ,43235,139,41.483776,-91.1186992
70,O'Brien ,14182,141,43.0837455,-95.6256244
71,Osceola ,6192,143,43.3785421,-95.6337878
72,Page ,15211,145,40.7390902,-95.1442898
73,Palo Alto ,8996,147,43.0758537,-94.6672965
74,Plymouth ,25698,149,42.7375854,-96.2158638
75,Pocahontas ,7078,151,42.7340333,-94.6782789
76,Polk ,492401,153,41.6842807,-93.5697204
77,Pottawattamie ,93667,155,41.3401835,-95.5449053
78,Poweshiek ,18662,157,41.6845262,-92.5228819
79,Ringgold ,4663,159,40.7353342,-94.2442514
80,Sac ,9814,161,42.3875259,-95.1052244
81,Scott ,174669,163,41.6416793,-90.6222899
82,Shelby ,11746,165,41.6790143,-95.3089173
83,Sioux ,35872,167,43.0828542,-96.1779289
84,Story ,98537,169,42.0375379,-93.4660934
85,Tama ,17135,171,42.0748481,-92.5294115
86,Taylor ,5896,173,40.7379489,-94.6971082
87,Union ,12138,175,41.0285502,-94.2450907
88,Van Buren ,7203,177,40.7541168,-91.952943
89,Wapello ,35437,179,41.0312631,-92.4094822
90,Warren ,52403,181,41.3367685,-93.5643662
91,Washington ,22565,183,41.3294011,-91.7250523
92,Wayne ,6497,185,40.7399827,-93.3326126
93,Webster ,36999,187,42.434397,-94.1791565
94,Winnebago ,10679,189,43.3781243,-93.7434883
95,Winneshiek ,20070,191,43.2929889,-91.850788
96,Woodbury ,105941,193,42.3932198,-96.0532956
97,Worth ,7443,195,43.373491,-93.2485332
98,Wright ,12943,197,42.7330073,-93.7347352
